Text;Filename;MED short title;Source corpus;Edn.;MS;MED date;Area;V/P;Genre;Words
The Book of Margery Kempe;lme.kempe;MKempe A (Add 61823) | MKempe B (Add 61823);PPCME2;Meech & Allen 1940 (EETS 212);Additional 61823;a1438 | c1438;EM;P;RELIG; 64.025 
The Three Kings of Cologne;lme.kingscam;3 KCol.(1) (Cmb Ee.4.32);ICMEP;Horstmann 1886 (EETS O.S. 85);Ee.4.32;c1450 (?c1400);–;P;NARR; 25.096 
Recipes from Laud Misc. 553;lme.ldcook;Ld.Cook.Recipes (LdMisc 553);ICMEP;Austin 1888;Laud MS. 553;a1500;WM;P;SECUL; 1.200 
Lincoln Diocese Documents;lme.lincdoc;Lin.DDoc.;ICMEP;Clark 1914 (EETS 149);Diocesan Registry at Lincoln Cathedral;1450-1464;EM;P;STAT; 19.334 
London Lapidary of King Philip;lme.londlapi;Dc.291 Lapid.;ICMEP;Evans & Serjeantson 1933 (EETS 190);Douce 291;a1450;EM;P;SECUL; 7.350 
Letters (London);lme.londlet;Let.War France in Bk.Lond.E. (Gldh LetBk I & K);ICEL;Chambers & Daunt 1931;Guildhall LetBk I & K;1417-1419;EM;P;ADDR; 4.218 
Ludus Coventriae (sample);lme.ludus;Ludus C. (Vsp D.8);HC;Block 1922 (EETS E.S. 120);Cott. Vesp. D.8;?a1475;EM;V;DIAL; 3.400 
The Assembly of Gods;lme.lydgods;Ass.Gods (Trin-C R.3.19);CMEPV;Triggs 1896 (EETS E.S. 69);Trin. Coll. R.3.19;c1500 (?a1475);–;V;LYR; 16.750 
Lydgate: Reason and Sensuality;lme.lydreas;Lydg.RS (Frf 16);CMEPV;Sieper 1901, 1903 (EETS E.S. 84, 89);Fairfax 16;c1450 (?c1408);–;V;LYR; 40.800 
Malory's Morte d'Arthur;lme.malory;Malory Wks. (Win-C);PPCME2;Vinaver 1954;Winchester College;a1470;WM;P;NARR; 60.297 
Mandeville's Travels;lme.mandev;Mandev.(1) (Tit C.16);PPCME2;Hamelius 1919-1923 (EETS 153, 154);Cott. Titus C 16;?a1425 (c1400);EM;P;NARR; 51.715 
Mankind (Macro Plays);lme.mankind;Mankind (Folg V.a.354);HC;Eccles 1969 (EETS 262);Folger Shakesp. Lib. V.a.354;c1475;EM;V;DIAL; 3.610 
Chaucer: The Merchant's Prologue and Tale;lme.merch;Chaucer CT.Mch. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 9.600 
Prose Merlin;lme.merlin;Merlin (Cmb Ff.3.11);CMEPV;Wheatley (EETS 10, 21, 36, 112);Ff.3.11;a1500 (?c1450);K;P;NARR; 285.000 
John Metham: Days of the Moon;lme.metmoon;Metham Days Moon (Gar 141);ICMEP;Craig 1916 (EETS 132);Garrett 141;c1450;EM;P;SECUL; 2.981 
John Metham: Palmistry;lme.metpa2;Metham Palm. (AS 81);ICMEP;Craig 1916 (EETS 132);All Souls 81;a1500;EM;P;SECUL; 5.374 
John Metham: Physiognomy;lme.metphys;Metham Physiog. (Gar 141);ICMEP;Craig 1916 (EETS 132);Garrett 141;c1450;EM;P;SECUL; 9.144 
Chaucer: The Miller's Prologue and Tale;lme.miller;Chaucer CT.Mil. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 5.810 
Mirk's Festial;lme.mirk;Mirk Fest. (GoughETop 4);PPCME2;Erbe 1905 (EETS E.S. 96);Gough Eccl. Top. 4;a1500 (a1415);WM;P;RELIG; 57.944 
A Mirror to Lewd Men and Women;lme.mirror;Mirror LM&W (Hrl 45);ICMEP;Nelson 1981;Harley 56;c1425;S;P;RELIG; 24.258 
St. Nicholas (Gilte Legende);lme.nichol;GLeg.St.Nich. (Eg 876);ICMEP;Hamer 1978;Egerton 876;c1450 (1438);WM;P;NARR; 4.097 
North Midland Lapidary of King Philip;lme.nmlapi;BodAdd.A.106 Lapid.;ICMEP;Evans & Serjeantson 1933 (EETS 190);Bod. Add. A 106;a1500;EM;P;SECUL; 7.500 
New Testament (Wycliffite);lme.ntest;WBible(2) (Roy 1.C.8);PPCME2;Forshall & Madden 1879;Royal 1.C.8;a1425 (c1395);EM;P;NARR; 11.001 
Chaucer: The Nun's Priest's Prologue and Tale;lme.nunpriest;Chaucer CT.NP. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 5.400 
Octovian;lme.octavian;Octav.(1) (Cmb Ff.2.38);CMEPV;McSparran 1993 (EETS 289);Ff.2.38;a1500;EM;V;NARR; 10.100 
Third Order of St. Francis;lme.order;3rd Fran.Rule (Seton);ICMEP;Seton 1914 (EETS 148);olim Seton, olim Pennant;a1500;–;P;RELIG; 3.696 
The English Register of Oseney Abbey;lme.oseney;Oseney Reg.;ICMEP;Clark 1907;PRO E 164/26;c1460;EM;P;STAT; 72.770 
Old Testament (Wycliffite);lme.otest;WBible(2) (Roy 1.C.8);PPCME2;Forshall & Madden 1850;Royal 1.C.8;a1425 (c1395);EM;P;NARR; 9.910 
Paston Letters;lme.paston;Paston;ICEL;Davis (1971, 1976);–;1426-1465;EM;P;ADDR; 6.553 
The Pater Noster of Richard Ermyte;lme.pater;PNoster R.Hermit (Westm-S 3);ICMEP;Aarts 1967;Westminster School 3;a1450;EM;P;RELIG; 28.855 
Patience;lme.patience;Patience (Nero A.10);–;Morris 1965 [1869];Cotton Nero A.10;c1400 (?c1380);WM;V;NARR; 4.976 
Pearl;lme.pearl;Pearl (Nero A.10);CMEPV;Gordon 1953;Cotton Nero A.10;c1400 (?c1380);WM;V;LYR; 8.340 
Chaucer: The Parson's Tale;lme.persbla;Chaucer CT.Pars. (Heng);ICMEP;Blake 1980;Hengwrt (Peniarth 392D);c1405;EM;P;RELIG; 30.475 
Peterborough Lapidary;lme.petelapi;Peterb.Lapid.;ICMEP;Evans & Serjeantson 1933 (EETS 190);Peterb. Cath. 33;a1500;EM;P;SECUL; 20.900 
Petitions (London);lme.petitions;–;HC;Fisher et al. 1984;–;1424-1450;EM;P;STAT; 6.680 
A Latin Technical Phlebotomy;lme.phlebo;Phlebotomy(1) (Cai 176/97);HC;Voigts & McVaugh 1984;Gonville & Caius Coll. 176/97;?c1425 (c1400);EM;P;SECUL; 3.580 
Purity (Cleanness);lme.purity;Cleanness (Nero A.10);CMEPV;Menner 1920;Cotton Nero A.10;c1400 (?c1380);WM;V;NARR; 16.170 
Purvey's General Prologue to the Bible;lme.purvey;WBible(2) GProl. (Hrl 1666) + (Cmb Mm.2.15);PPCME2;Forshall & Madden 1850;Harley 1666 + Mm.2.15;a1450 (a1397);S;P;RELIG; 39.836 
Chaucer: The Reeve's Prologue and Tale;lme.reeve;Chaucer CT.Rv. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 3.870 
The Commonplace Book of Robert Reynes;lme.reynes;–;PPCME2;Louis 1980;Tanner 407;1470-1500;EM;P;SECUL; 8.913 
Aelred of Rievaulx's De Institutione Inclusarum;lme.rielvaulx;Aelred Inst.(2) (Bod 423);PPCME2;Ayto & Barratt 1984 (EETS 287);Bodley 423;a1450;EM;P;RELIG; 11.196 
Middle English Sermons;lme.royserm;Roy.Serm. (Roy 18.B.23);PPCME2;Ross 1940 (EETS 209);Royal 18.B.23;c1450 (c1415);S;P;RELIG; 6.349 
The Rewle of Sustres Menouresses Enclosed;lme.rule;Rule Minoresses (Bod 585);ICMEP;Seton 1914 (EETS 148);Bodl. 585;a1500;–;P;RELIG; 15.964 
Secrete of Secretes (Secreta Secretorum);lme.secrete;Royal SSecr. (Roy 18.A.7);ICMEP;Steele 1898 (EETS E.S. 74);Royal 18.A.7;c1450;EM;P;SECUL; 16.441 
Sermon on the Passion of the Lord;lme.sermworc;Legat Serm.PD (Wor F.10);ICMEP;Grisdale 1939;Worcs Chapt. MS F. 10;a1450 (c1400-25);WM;P;RELIG; 7.995 
Documents (Shillingford);lme.shilldoc;–;HC;Moore 1871;Shillingford;a1450;S;P;STAT; 3.000 
Shillingford Letters;lme.shilllet;Shillingford;ICEL;Moore 1871;–;1447;S;P;ADDR; 2.462 
The Siege of Jerusalem;lme.siege;Siege Jerus.(2) (Brog 2.1);PPCME2;Kurvinen 1969;Porkington 10 (Brogyntyn 2.1);c1500;WM;P;NARR; 7.757 
Speculum Christiani;lme.specchri;Spec.Chr.(2) (Hrl 6580);ICMEP;Holmstedt 1933 (EETS 182);Harley 6580;c1450;EM;P;RELIG; 31.427 
Statutes II;lme.statutes;–;HC;Statutes of the Realm vol. II (1816);–;1488-1491;EM;P;STAT; 11.240 
St. Bartholomew (Gilte Legende);lme.stbarth;GLeg.St.Barth. (Eg 876);ICMEP;Hamer 1978;Egerton 876;c1450 (1438);WM;P;NARR; 3.606 
Stonor Letters;lme.stonor;Stonor + Stonor Suppl.;ICEL;Kingsford (1919, 1924);–;1429-1482;–;P;ADDR; 8.594 
Chaucer: The Summoner's Prologue and Tale;lme.summ;Chaucer CT.Sum. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 5.050 
A Little Treatise on the Seven Deadly Sins;lme.treatise;Lavynham Treat.7 Dead.Sins (Hrl 211);ICMEP;Zutphen 1956;Harley 211;c1450 (a1400);EM;P;RELIG; 12.119 
Trevisa: Dialogus inter Militem et Clericum;lme.trevdia;Trev.Dial.MC (Hrl 1900);ICMEP;Perry 1925 (EETS 167);Harley 1900;a1402;S;P;DIAL; 6.535 
The Book of Vices and Virtues;lme.vices;Vices & V.(2) (Hnt HM 147);PPCME2;Francis 1942 (EETS 217);Huntington HM 147;c1450 (c1400);EM;P;RELIG; 7.184 
Guy of Warwick;lme.warwick;Guy(4) (Cmb Ff.2.38);CMEPV;Zupitza 1875, 1876 (EETS E.S. 25, 26);Ff.2.38;a1500 (?a1475);EM;V;NARR; 67.600 
Life of Adam and Eve;lme.wheat;Adam & E.(3) (Wht);ICMEP;Day 1921 (EETS 155);Additional 39574 (olim Wheatley);a1425;EM;P;NARR; 9.058 
Chaucer: The Wife of Bath's Prologue and Tale;lme.wifebath;Chaucer CT.WB. (Heng);CMEPV;Furnivall 1868-1884;Hengwrt (Peniarth 392D);c1405;EM;V;NARR; 10.170 
English Wycliffite Sermons;lme.wycser;Wycl.Serm. (Add 40672);PPCME2;Hudson 1983;Additional 40672;?a1425;EM;P;RELIG; 56.168 
Abbey of the Holy Ghost;nme.abbey;Abbey HG (Thrn);ICMEP;Perry 1914 (2nd ed. EETS 26);Lincoln Cath. Libr. 91 (Thornton);c1440(?a1375);N;P;RELIG; 4.571 
Alphabet of Tales (1st vol);nme.alpha;Alph.Tales (Add 25719);ICMEP;Banks 1904, 1905 (EETS 126, 127);Additional 25719;c1450;N;P;RELIG; 86.800 
The Northern Metrical Rule of St. Benet;nme.benmetr;Ben.Rule(2) (Vsp A.25);CMEPV;Kock 1902 (EETS 120);Cott. Vesp. A.25;a1450;N;V;RELIG; 15.600 
The Northern Prose Rule of St. Benet;nme.benrul;Ben.Rule(1) (Lnsd 378);PPCME2;Kock 1902 (EETS 120);Lansdowne 378;a1425;N;P;RELIG; 18.221 
Coldingham Letters;nme.coldingh;;ICEL;Raine 1841;–;1441-1472;N;P;ADDR; 4.234 
The Mirror of St. Edmund (Thornton MS.);nme.edthor;Mirror St.Edm.(4) (Thrn);PPCME2;Perry 1969 (3rd ed. EETS 26);Lincoln Cath. Libr. 91 (Thornton);c1440 (?1350);N;P;RELIG; 13.949 
Dan Jon Gaytryge's Sermon;nme.gaytry;Gaytr.LFCatech. (Thrn);PPCME2;Perry 1969 (3rd ed. EETS 26);Lincoln Cath. Libr. 91 (Thornton);c1440;N;P;RELIG; 5.238 
Hilton: Angels' Song;nme.hiltang;?Hilton Angels' Song;ICMEP;Takamiya 1980;Additional 27592;1400+ (c1400);N;P;LYR; 2.300 
Prose Life of Alexander;nme.lifealex;PLAlex. (Thrn);ICMEP;Westlake 1913 (EETS 143);Lincoln Cath. Libr. 91 (Thornton);c1440;N;P;NARR; 48.059 
Petition of William Middleton;nme.middlet;–;HC;Fisher et al. 1984;–;1424-1426;N;P;STAT; 362 
Northern Homilies;nme.norhom;–;HC;Nevanlinna 1973, 1984;Harley 4196 + Cott. Tib. E VII;var.;N;V;RELIG; 7.450 
Liber de Diversis Medicinis (Thornton Medical Book);nme.thorn;Thrn.Med.Bk. (Thrn);PPCME2;Ogden 1969 [1938];Lincoln Cath. Libr. 91 (Thornton);c1440;N;P;SECUL; 5.720 
The Towneley Plays;nme.towneley;Towneley Pl. (Hnt HM 1);CMEPV;England et al. 1966 (EETS E.S. 71);Huntington HM 1;a1500 (a1460);N;V;DIAL; 84.400 
Methodius' Revelations;nme.trevmead;Methodius(2) (Add 37049);ICMEP;Perry 1925 (EETS 167);Additional 37049;a1450;N;P;RELIG; 3.476 
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
