Text;Filename;DOE short title;Edn.;MS;Ker date;V/P;Genre;Words
Soul and Body II;T00290;Soul II;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 779 
Vainglory;T00200;Vain;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;RELIG; 474 
The Wanderer;T00160;Wan;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 691 
The Whale;T00270;Whale;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 471 
Thureth;T01690;Thureth;Dobbie 1942;Cott. Claud. A. iii;x/xi – xi 1;V;LYR; 72 
Widsith;T00210;Wid;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 845 
Prognostics from Tib. A. iii;T23580-T23670;Prog 3.1 – 3.10;"Förster (1925-6; 1912c; 1916a; 1908b); Cockayne (1864-6, III)";Cott. Tib. A. iii;xi med.;P;SECUL; 3.103 
Wulfstan's Canons of Edgar;T09090;WCan 1.1.1;Fowler 1972;Corp. Chr. Coll. 201;xi in;P;RELIG; 1.757 
Waldere (A);T01420;WaldA;Dobbie 1942;Ny kgl. saml. 167b;x/xi (?);V;NARR; 185 
Waldere (B);T01430;WaldB;Dobbie 1942;Ny kgl. saml. 167b;x/xi (?);V;NARR; 172 
The Wife's Lament;T00910;Wife;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 319 
Wulf and Eadwacer;T00310;Wulf;Krapp and Dobbie 1936;Exeter Cath. 3501;x 2;V;LYR; 117 
Wulfstan's Homilies (10c);T04140;WHom 10c;Bethurum 1957;var.;xi in - xi med;P;RELIG; 1.975 
Wulfstan's Homilies (16b);T04210;WHom 16b;Bethurum 1957;var.;xi in - xi med;P;RELIG; 323 
Wulfstan's Homilies (19);T04240;WHom 19;Bethurum 1957;var.;xi in - xi med;P;RELIG; 509 
Wulfstan's Homilies (20.1);T04250;WHom 20.1;Bethurum 1957;var.;xi in - xi med;P;RELIG; 1.330 
Wulfstan's Homilies (7a);T04090;WHom 7a;Bethurum 1957;var.;xi in - xi med;P;RELIG; 479 
Institutes of Polity;T09130;WPol 2.1.2;Jost 1959;Corpus Christi College, 201;xi in;P;RELIG;2433
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
